2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column base_branch db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column merge_base db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column has_merged db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column merged_commit_id db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column merger_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.772222 Table pull_request Column merged_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.777209 Table comment Column type db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.777209 Table comment Column poster_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.777209 Table comment Column issue_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.777209 Table comment Column commit_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.777209 Table comment Column line db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.777209 Table comment Column content db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.777209 Table comment Column created_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.777209 Table comment Column updated_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.777209 Table comment Column commit_sha db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.782196 Table attachment Column uuid db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.782196 Table attachment Column issue_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.782196 Table attachment Column comment_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.782196 Table attachment Column release_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.782196 Table attachment Column name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.782196 Table attachment Column created_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.787183 Table issue_user Column uid db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.787183 Table issue_user Column issue_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.787183 Table issue_user Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.787183 Table issue_user Column milestone_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.787183 Table issue_user Column is_read db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.787183 Table issue_user Column is_assigned db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.787183 Table issue_user Column is_mentioned db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.787183 Table issue_user Column is_poster db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.787183 Table issue_user Column is_closed db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.792170 Table label Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.792170 Table label Column name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.792170 Table label Column color db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.792170 Table label Column num_issues db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.792170 Table label Column num_closed_issues db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.796159 Table issue_label Column issue_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.796159 Table issue_label Column label_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.801146 Table milestone Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.801146 Table milestone Column name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.801146 Table milestone Column content db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.801146 Table milestone Column is_closed db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.801146 Table milestone Column num_issues db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.801146 Table milestone Column num_closed_issues db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.801146 Table milestone Column completeness db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.801146 Table milestone Column deadline_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.801146 Table milestone Column closed_date_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.806132 Table mirror Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.806132 Table mirror Column interval db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.806132 Table mirror Column updated_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.806132 Table mirror Column next_update_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.811118 Table release Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.811118 Table release Column publisher_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.811118 Table release Column tag_name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.811118 Table release Column lower_tag_name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.811118 Table release Column target db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.811118 Table release Column title db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.811118 Table release Column sha1 db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.811118 Table release Column num_commits db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.811118 Table release Column note db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.811118 Table release Column is_prerelease db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.811118 Table release Column created_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.816104 Table webhook Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.816104 Table webhook Column org_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.816104 Table webhook Column url db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.816104 Table webhook Column content_type db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.816104 Table webhook Column secret db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.816104 Table webhook Column events db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.816104 Table webhook Column is_ssl db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.816104 Table webhook Column is_active db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.816104 Table webhook Column hook_task_type db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.816104 Table webhook Column meta db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.816104 Table webhook Column last_status db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.816104 Table webhook Column created_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.816104 Table webhook Column updated_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column hook_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column uuid db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column type db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column url db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column signature db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column payload_content db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column content_type db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column event_type db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column is_ssl db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column is_delivered db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column delivered db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column is_succeed db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column request_content db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.821093 Table hook_task Column response_content db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.825082 Table protect_branch Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.825082 Table protect_branch Column name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.825082 Table protect_branch Column protected db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.825082 Table protect_branch Column require_pull_request db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.825082 Table protect_branch Column enable_whitelist db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.825082 Table protect_branch Column whitelist_user_i_ds db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.825082 Table protect_branch Column whitelist_team_i_ds db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.830069 Table protect_branch_whitelist Column protect_branch_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.830069 Table protect_branch_whitelist Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.830069 Table protect_branch_whitelist Column name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.830069 Table protect_branch_whitelist Column user_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.835055 Table team Column org_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.835055 Table team Column lower_name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.835055 Table team Column name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.835055 Table team Column description db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.835055 Table team Column authorize db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.835055 Table team Column num_repos db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.835055 Table team Column num_members db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.839045 Table org_user Column uid db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.839045 Table org_user Column org_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.839045 Table org_user Column is_public db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.839045 Table org_user Column is_owner db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.839045 Table org_user Column num_teams db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.843034 Table team_user Column org_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.843034 Table team_user Column team_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.843034 Table team_user Column uid db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.847022 Table team_repo Column org_id db default is NULL, struct default is 
